PredictionString,image_id
0 0.25506908 244.90457 678.7344 299.34274 748.21375 1 0.99875486 558.91766 106.64045 753.4034 361.0247 1 0.71690595 431.14822 456.1817 563.35156 674.0999 1 0.3255686 245.13403 679.7303 299.32843 748.127 1 0.24680999 478.97733 595.09656 582.0803 656.9059 1 0.23292057 468.1542 556.2265 564.21375 669.3222 1 0.20749128 51.072525 418.4538 156.54434 622.74835 1 0.14835696 456.62076 559.8779 558.1574 597.71045 1 0.12734766 638.0811 253.72592 730.9914 345.21323 1 0.101577625 466.85745 577.2709 562.0203 626.0032 1 0.08033852 526.01465 603.37463 591.5127 650.2036 1 0.07144699 424.60767 465.49854 562.0313 554.2577 1 0.050737333 243.79724 406.44305 284.17554 487.07843 5 0.31507173 383.95618 613.1605 445.34802 728.1255 5 0.24122462 333.8086 610.5276 462.02167 732.7567 5 0.13958634 244.91092 681.1293 299.39383 747.87585 5 0.079946324 376.1003 680.5802 428.38168 720.6024 5 0.073209316 328.2969 632.3785 409.32785 717.2767 5 0.05833916 375.50247 655.2418 469.07138 719.525 5 0.056124527 390.35867 627.36035 449.59512 692.90076 5 0.050868656 348.8124 646.92255 438.7355 719.9388 6 0.08846727 431.8036 453.6077 566.5678 672.2183 7 0.9998913 606.4895 520.7317 950.3678 1023.2865 7 0.99875164 219.48856 58.745987 456.0309 516.26434 7 0.9977551 123.64929 418.4801 327.45078 721.7793 7 0.99679863 454.31067 596.5374 638.58545 873.5329 7 0.99358094 395.90295 200.71992 602.81274 561.3488 7 0.99003255 552.0088 331.4881 721.1676 614.3758 7 0.9664149 555.1178 325.74915 885.5167 622.4045 7 0.47718352 322.01025 550.42664 453.69293 635.9901 7 0.42838633 328.39774 553.6341 464.74704 732.17804 7 0.40323818 264.55377 426.79196 432.11115 596.7268 7 0.33625063 245.15851 678.5271 299.32263 748.2899 7 0.19890958 269.81018 426.57623 471.3357 721.33905 7 0.16348094 330.65384 623.40106 435.0372 727.1672 7 0.09978889 318.76276 487.9249 448.78595 669.514 7 0.09886336 221.67389 297.65472 445.17688 628.1376 7 0.08305338 654.4181 393.86462 724.09863 599.38257 7 0.078255214 169.70929 372.37946 242.75558 441.9677 7 0.07504679 129.62369 445.1556 182.53946 505.40836 7 0.073875405 300.97296 267.59723 745.216 632.41864 7 0.059306875 320.19916 569.6154 383.18237 618.1352 7 0.055394135 556.4563 602.68896 639.37024 806.8462 7 0.051465027 153.59581 422.7247 202.14174 456.36246 ,test/0000.jpg
0 0.29219347 746.36206 653.2151 893.05884 983.218 0 0.1448105 634.93164 642.04626 693.298 842.52527 0 0.06631935 138.93748 0.0 495.09772 270.35583 3 0.14688389 138.24428 0.0 495.4701 271.21384 4 0.057545993 344.77167 254.46455 752.18134 691.52856 5 0.98889893 344.4859 250.1452 750.92084 692.7761 5 0.757408 138.39778 0.0 495.36987 270.88818 6 0.49772403 748.4828 653.40857 893.0625 981.7694 7 0.051869605 138.93748 0.0 495.09772 270.35583 ,test/0001.jpg
0 0.28346866 670.39105 231.31134 776.4819 323.40173 0 0.2721277 778.2465 433.35764 1024.0 1024.0 0 0.2397462 466.34503 505.9437 787.8472 666.42114 0 0.12834501 161.77309 331.00357 198.26634 445.2526 0 0.1277741 422.6447 266.04654 644.8785 328.6877 0 0.12683293 90.345406 322.5064 274.26132 408.48248 0 0.07202558 137.81888 331.80817 243.71103 391.29382 0 0.07184161 866.2427 258.06104 912.1061 324.72943 0 0.05640806 104.897766 345.06815 259.9362 598.0226 0 0.055843 105.52651 334.34503 305.82404 449.90295 0 0.054733876 358.2853 313.05756 1022.68054 436.6303 0 0.052602988 97.88313 389.3315 194.6198 450.13162 1 0.99787116 88.26462 273.09003 435.5754 605.03577 1 0.9781327 299.2965 322.11304 1009.8627 741.6765 1 0.8930956 778.0507 431.92572 1024.0 1024.0 1 0.7447886 657.9821 228.4639 964.12103 325.47488 1 0.69157624 422.68222 266.26767 644.9717 329.1472 1 0.60375565 2.23806 231.27496 149.25797 471.5291 1 0.428382 673.16907 225.8129 1011.02246 402.6472 1 0.40914395 466.34503 505.9437 787.8472 666.42114 1 0.37289223 972.5092 232.73499 1020.74774 247.06177 1 0.19965716 87.129715 276.39203 420.74152 409.04913 1 0.19166729 342.06686 302.05896 1024.0 406.02203 1 0.18592814 670.0078 230.85915 783.5731 324.11786 1 0.16533226 865.7355 255.53653 912.2527 324.48917 1 0.1615829 963.27 305.01495 1023.3966 400.08282 1 0.15254924 97.436386 301.53778 286.66003 603.7322 1 0.14535981 910.8685 219.5858 1020.99817 483.09296 1 0.13839102 736.3346 243.26637 1021.71716 350.41608 1 0.123550594 106.4628 274.9169 426.0449 342.70767 1 0.11247803 1000.1123 304.36703 1023.83276 333.93033 1 0.110833146 966.1923 231.67761 1022.21356 256.89398 1 0.10475801 995.06824 301.4011 1022.21985 394.09958 1 0.10024346 907.88043 307.87018 1023.84247 411.67798 1 0.098247394 378.98212 490.80954 799.29 738.71674 1 0.082724124 100.174545 379.995 325.83728 511.83948 1 0.06853216 963.04614 305.9211 1023.4197 344.15012 1 0.06713714 745.2772 226.57338 921.7261 267.417 1 0.06513657 652.1998 317.7997 995.06995 371.31656 1 0.054876175 635.41187 289.82483 1016.0713 362.3891 1 0.05442188 93.345695 323.80386 277.2164 452.82846 1 0.053363416 968.10254 227.79437 1021.71106 243.07397 1 0.05077248 268.39584 293.89343 409.5516 657.6123 7 0.23850079 422.91946 266.3651 644.6497 329.27997 7 0.05324953 673.14307 230.46217 768.66394 322.86255 ,test/0002.jpg
0 0.55391043 5.1362762 450.15833 167.09073 855.2302 0 0.37029263 0.6312256 102.029144 998.9795 912.47253 0 0.062164724 0.0 244.73389 387.50977 874.9369 5 0.059541088 147.51462 246.21973 930.35376 817.9452 7 0.08156148 137.48276 245.02832 941.5763 816.8384 9 0.9608531 144.57858 246.05276 930.52576 816.6245 9 0.23034218 4.2470016 452.76425 176.6453 854.7822 9 0.0566398 0.0 653.41956 1024.0 1024.0 ,test/0003.jpg
0 0.7514395 450.3469 406.75552 658.1095 558.7529 0 0.60573524 189.90848 264.87213 878.36865 772.6906 0 0.3112731 416.2545 318.6399 671.85614 580.23914 0 0.10566389 424.05768 398.33575 872.24493 604.5645 0 0.052275673 569.19934 563.1373 831.4413 673.0818 1 0.4836729 190.78854 269.645 875.079 772.458 1 0.109922804 445.5146 406.95535 658.2746 559.905 7 0.19370683 183.56116 262.5729 880.59155 769.5624 7 0.08194544 440.11365 406.66544 658.8025 564.34717 ,test/0004.jpg
0 0.53532064 346.6766 228.16309 771.704 702.94855 0 0.058039024 566.9034 704.7616 634.74945 748.96814 0 0.056882158 434.87857 644.6334 619.08527 705.39417 1 0.24486898 344.89246 227.753 771.07336 707.95447 2 0.87201625 348.55978 228.68378 768.36414 707.6097 7 0.05310794 346.6766 228.16309 771.704 702.94855 ,test/0005.jpg
0 0.97333634 896.8755 787.6047 1024.0 917.46185 0 0.9033019 600.44055 0.0 704.2622 81.382935 0 0.6334556 190.73271 552.48303 312.87366 882.3602 0 0.34954295 301.4033 626.57574 400.13608 748.7292 0 0.10326787 678.7032 2.3272514 702.95404 68.960754 0 0.10008804 429.63464 10.571121 702.9374 271.89636 0 0.059138555 278.2921 21.317352 413.88226 173.00241 0 0.05758066 465.42035 1002.2703 534.52765 1022.7767 0 0.05656189 194.3562 544.6647 276.58408 718.0054 0 0.050524663 84.912346 727.7556 135.82486 826.7849 3 0.059639793 1.205883 61.352547 68.07361 224.31158 4 0.05887043 366.23752 451.40656 834.8031 720.3979 5 0.98507464 366.2018 451.88626 833.88696 719.7864 5 0.7629192 1.1983414 62.682068 68.20521 224.19284 5 0.6856779 428.83005 12.811661 701.7876 272.0174 6 0.34653246 0.9665375 810.242 91.31514 940.8278 6 0.2872215 600.6297 0.0 703.36774 81.26645 6 0.056959894 301.4033 626.57574 400.13608 748.7292 7 0.67835486 278.69434 23.697517 414.6325 172.98611 7 0.15948075 429.09656 11.388931 701.99255 272.3341 9 0.22121468 191.15923 553.35956 312.80103 882.01447 9 0.1269444 600.3316 0.0 704.6612 80.73944 ,test/0006.jpg
0 0.6382755 0.2842102 544.29803 285.1439 1024.0 0 0.4836554 166.14035 105.76752 982.645 866.6701 0 0.45435795 324.30026 0.0 1024.0 230.34677 0 0.29305983 883.4718 889.6871 1021.4487 1024.0 0 0.08256073 209.63622 894.73865 606.34424 1024.0 0 0.08145896 48.23587 636.39056 991.93616 1024.0 0 0.07274768 213.2579 472.0532 253.9848 676.9448 0 0.052477315 398.03644 88.04727 992.53705 607.355 1 0.88231647 883.5624 889.5993 1021.2782 1024.0 1 0.66680145 69.46365 54.580597 1014.0924 942.871 1 0.5423769 210.30917 895.4113 589.7982 1024.0 1 0.18083265 354.17548 894.8161 472.2564 1024.0 1 0.07444625 994.0769 931.3395 1024.0 1023.4369 5 0.45997006 0.0 865.1732 26.024357 1022.5449 7 0.36279252 0.0 863.27594 27.61308 1022.11456 9 0.8411301 282.76196 109.08252 972.1576 750.11285 9 0.66151714 544.14795 479.80206 914.11975 736.5159 ,test/0007.jpg
0 0.82330525 104.931244 908.80945 171.23688 970.8064 0 0.21396227 363.63193 499.29776 466.78525 607.2167 0 0.18024793 0.0 520.0163 43.79718 686.2332 0 0.050015368 684.9833 447.87494 815.2643 626.36566 1 0.92404014 641.4585 636.7368 719.8602 760.68884 1 0.8175008 670.2531 448.99213 804.93756 523.0087 1 0.4010698 363.4366 499.23297 466.45523 607.09 1 0.31318313 602.0769 351.10507 738.7899 468.00003 1 0.30393568 647.03754 448.1637 793.94037 474.7666 1 0.2076106 690.8403 452.37878 814.1624 625.32776 1 0.19890991 152.43872 577.2481 195.99411 658.39154 1 0.16065922 568.4451 435.80557 817.7951 518.63464 1 0.11292065 699.00995 504.55884 811.5057 541.7268 1 0.0940682 104.80419 909.35944 171.19547 970.8061 1 0.08373499 0.0 519.7182 43.7267 686.5356 2 0.679642 601.3932 351.93707 738.03906 466.9306 2 0.10277013 671.47955 450.88818 804.36273 523.2539 2 0.09400927 363.56583 499.3567 466.66367 607.07056 2 0.07168587 104.93292 908.83765 171.31268 970.77576 3 0.117045105 601.2804 351.72852 738.84485 465.7157 3 0.06780643 680.50073 443.3342 813.7848 629.42554 5 0.71916753 679.2275 443.22244 813.63116 627.97723 5 0.70765305 773.0552 278.60748 977.73 615.24774 5 0.17326842 362.12372 499.4209 462.52496 603.63074 5 0.13584197 554.79785 422.72986 720.8296 608.2113 5 0.116309434 601.53986 351.40057 738.6757 466.6338 5 0.103392005 0.0 386.69678 177.5914 553.22003 5 0.09943044 701.67896 498.3728 816.6658 603.438 5 0.08844248 670.55884 449.49222 804.5271 523.18713 5 0.06250084 699.00995 504.55884 811.5057 541.7268 5 0.052425727 647.03754 448.1637 793.94037 474.7666 6 0.38805512 773.2923 278.46988 977.70197 614.4868 6 0.110473186 362.81326 498.93372 465.84854 606.7904 7 0.9998109 156.65935 523.8248 470.8241 959.8561 7 0.99961215 392.53308 457.56924 698.9928 878.34973 7 0.9995134 3.5168915 614.3378 179.75826 873.9683 7 0.9938811 3.5867767 362.71054 268.4864 650.8125 7 0.9903758 684.77454 533.32184 797.4066 701.4808 7 0.80610675 218.80338 492.35483 333.25748 563.5733 7 0.7769218 550.2317 423.96222 719.33167 621.6346 7 0.60061383 0.0 520.2219 43.916504 686.58704 7 0.47100666 362.97623 499.13385 466.83334 606.9653 7 0.334162 392.31052 598.3282 453.73453 674.03436 7 0.30108723 707.7124 489.434 809.80884 628.0015 7 0.21967888 151.8949 541.3596 318.4336 668.74084 7 0.16652025 523.90265 437.8999 745.1346 724.7977 7 0.08506944 221.22641 491.61707 289.1352 548.52856 7 0.08221305 152.4294 575.43726 196.62029 658.19604 7 0.07198354 639.6652 443.58264 801.5164 713.21313 7 0.0669528 55.0244 748.4979 112.3985 789.5054 7 0.06565875 503.76797 471.0442 553.5041 522.6179 7 0.061884783 642.7249 540.8257 741.91876 758.016 7 0.05241682 181.89009 490.73132 324.50574 624.04944 ,test/0008.jpg
0 0.997982 268.16556 113.20563 668.72766 970.71356 ,test/0009.jpg
