PredictionString,image_id
0 0.11967491 639.7645 255.24532 738.2573 346.43616 0 0.0956605 170.57265 425.95972 196.2693 447.29138 1 0.98894227 562.16156 110.71919 752.8858 369.13007 1 0.27455303 631.30365 168.41634 751.1259 320.62555 1 0.2322459 640.4971 255.36774 732.7489 345.39075 1 0.18372753 328.2052 639.91986 354.62457 683.2552 1 0.09432947 668.00494 259.28088 730.6989 318.92786 1 0.08574506 420.73456 460.5974 574.4699 675.7035 1 0.081257 243.95557 411.93442 287.55627 478.95035 1 0.07221325 170.57265 425.95972 196.2693 447.29138 2 0.4848911 328.0644 639.9417 354.50012 683.2934 5 0.9981067 245.72697 684.52234 300.15494 748.49036 5 0.9413576 342.0248 638.2301 396.75473 721.90283 5 0.53081024 323.09567 572.5044 386.0634 618.6229 5 0.42483875 394.88654 618.2257 460.39185 689.1328 5 0.2926886 328.718 654.6437 469.71304 744.97107 5 0.28320515 467.51733 591.7721 580.96545 681.2003 5 0.22678861 386.883 613.78516 469.47424 732.6279 5 0.21249716 386.4679 680.7732 427.28583 720.62427 5 0.18065278 421.97424 458.56265 574.3271 678.9212 5 0.15581791 329.62897 574.94366 475.0882 748.5086 5 0.12309299 328.2052 639.91986 354.62457 683.2552 5 0.119221486 410.5319 621.52185 445.7783 684.1743 5 0.10897335 397.94415 631.2324 418.5149 686.74304 5 0.09520941 325.79492 638.81433 387.43488 691.4883 5 0.08700669 362.9651 674.91614 458.93048 733.32214 5 0.081345886 361.5975 588.33026 414.53226 655.0192 5 0.0664686 359.47433 597.4569 403.75815 636.3756 5 0.0634087 469.96283 582.69727 557.89557 598.4049 5 0.061186593 419.27292 611.5455 470.93637 691.1502 5 0.05858066 423.58838 613.73065 452.3593 679.84845 7 0.99988174 606.6787 526.03467 952.3978 1024.0 7 0.99986184 219.74438 53.10472 456.89893 473.09094 7 0.99941325 387.37918 189.26079 601.3993 536.32324 7 0.9992163 122.95905 421.22467 329.41382 719.267 7 0.99899346 449.9664 593.35443 644.8956 873.5756 7 0.99817 648.23224 327.00165 879.4548 615.70215 7 0.99201256 256.69833 429.95398 429.23782 611.5403 7 0.98493123 548.12036 344.09772 711.515 599.37177 7 0.42824057 484.681 590.52545 577.6299 659.7305 7 0.25931323 542.73865 186.2975 573.9144 240.33733 7 0.16418342 323.56097 572.18207 385.5298 618.91046 7 0.13643248 329.62897 574.94366 475.0882 748.5086 7 0.12589376 146.0618 422.29614 196.00867 451.18024 7 0.10199801 126.775314 419.57245 197.68178 493.06635 7 0.09880515 317.0987 550.28687 434.13727 622.50854 7 0.08494249 420.99652 456.0505 574.8973 677.19995 7 0.06454371 170.57265 425.95972 196.2693 447.29138 7 0.055392213 395.04062 617.17206 467.1945 690.4373 ,test/0000.jpg
4 0.99789375 340.54245 243.0487 755.4042 694.73865 5 0.9804468 135.09435 0.0 495.38013 280.30975 6 0.99386555 761.9114 662.7243 901.8236 986.2989 7 0.11082912 137.08102 0.0 494.10678 282.96393 ,test/0001.jpg
0 0.9648967 872.8169 461.2544 1022.01135 623.56714 0 0.49760565 75.297516 279.18777 415.7488 527.1996 0 0.43964857 330.69467 323.35876 1024.0 422.26953 0 0.3824869 267.5015 323.69095 1024.0 374.37497 0 0.28764233 759.685 228.1101 864.2127 237.73901 0 0.24586982 658.6908 288.80554 746.1255 323.89423 0 0.17314957 218.00223 283.85013 322.64993 567.1118 0 0.16293183 821.6185 797.3769 875.76843 930.2131 0 0.15223666 673.7522 230.45338 798.3583 323.2687 0 0.13928916 114.655334 286.3089 313.00546 596.4676 0 0.13280779 777.52747 411.73303 1023.73315 1023.56616 0 0.12716241 0.0 236.29874 168.96704 467.38626 0 0.099524334 152.06712 319.01086 260.96152 583.8117 0 0.09756741 81.49432 287.73163 326.30777 423.136 0 0.0868791 459.06165 513.52856 775.7317 654.3037 0 0.07381279 633.0316 229.95996 1022.15234 466.1584 0 0.072866045 171.57709 287.06323 354.06317 504.70282 0 0.06753992 265.62314 279.55115 307.21457 457.93396 0 0.06576711 783.7733 429.08545 1022.9281 720.89136 0 0.06297697 849.9401 337.83554 1019.46625 639.7582 0 0.055354986 993.5071 303.5672 1024.0 374.0276 0 0.05364026 679.03986 228.5329 875.1263 253.33075 0 0.05155694 271.20197 283.7209 288.15356 375.96063 1 0.99636155 426.9781 268.9806 639.722 330.80408 1 0.99051636 303.12338 314.45294 974.8739 749.2768 1 0.96848375 776.99664 402.15854 1023.4095 1024.0 1 0.9498371 670.80725 228.56534 916.6327 324.58548 1 0.9004687 80.36664 268.72498 415.74506 601.26 1 0.7600102 659.0947 227.43793 1024.0 364.0077 1 0.556388 972.07025 229.72899 1024.0 247.39604 1 0.42022586 970.3995 225.03369 1023.91534 237.72043 1 0.39602932 965.3693 225.39658 1024.0 312.23495 1 0.3365288 673.7522 230.45338 798.3583 323.2687 1 0.26359186 990.9192 301.55313 1024.0 375.2228 1 0.24897635 658.2568 288.7458 748.6827 323.8686 1 0.2319119 369.322 263.33304 1017.6903 462.63626 1 0.21248685 972.04156 227.31305 1023.653 263.11276 1 0.1970392 0.4081955 241.12292 146.6222 459.8614 1 0.19483571 957.2082 223.44803 1024.0 379.4509 1 0.1680925 1007.27454 243.02643 1023.49854 313.2829 1 0.15817572 364.32147 316.79065 1017.7054 402.76654 1 0.10459936 987.26526 220.97519 1023.3572 344.47757 1 0.09427532 999.75446 228.70435 1023.6579 251.02072 1 0.08429785 973.79126 238.58 1023.0309 253.07603 1 0.06636346 70.22391 271.45822 294.53354 521.6753 1 0.05025817 0.0 264.55478 615.2556 501.91245 2 0.09139399 674.1464 230.48035 796.3366 323.03247 3 0.50665617 0.0 238.56107 146.02448 472.64218 3 0.08605873 1001.01685 305.47437 1024.0 334.20813 4 0.9911912 870.8048 241.27193 913.7328 325.20074 4 0.11513171 0.0 237.8487 147.66205 476.29712 5 0.1548682 0.0 238.55774 146.48375 473.13763 7 0.06298304 759.685 228.1101 864.2127 237.73901 ,test/0002.jpg
9 0.99843985 158.13599 254.59793 916.223 825.67786 9 0.89163345 74.8819 0.0 984.5848 1009.00964 9 0.77240515 28.99524 686.72314 974.62256 1024.0 9 0.35110477 12.889954 0.0 1024.0 476.47726 9 0.2274701 0.0 5.1773376 361.00833 1016.4536 9 0.050349567 0.0 253.38971 639.7678 1019.6291 ,test/0003.jpg
0 0.9686903 430.21487 412.0989 659.4398 566.78253 1 0.9810829 202.94781 263.35278 868.8099 781.4978 1 0.12331368 248.31584 274.00623 676.1084 641.1992 1 0.08325167 367.23206 322.81732 672.27344 577.4423 ,test/0004.jpg
1 0.13200152 356.6011 229.79726 784.077 710.7824 2 0.9886608 357.76636 232.32454 782.1926 708.8446 ,test/0005.jpg
0 0.93464684 899.6272 787.1713 1023.7251 915.9838 0 0.8321643 193.94978 635.52637 306.78574 875.37695 0 0.70892155 601.8376 0.0 703.52594 85.00983 0 0.3428392 0.0 52.900986 68.6595 221.94017 0 0.2614092 193.12173 546.2829 277.5836 707.67413 0 0.25234094 301.03772 635.1782 376.53162 748.6044 0 0.22790241 185.36313 378.27487 308.82285 892.3456 1 0.32658935 193.02225 546.26587 278.1977 707.55237 1 0.10802942 300.95007 635.19385 376.78174 748.6909 1 0.08179534 899.3852 787.1799 1023.4377 915.93365 3 0.10264356 0.0 52.61795 68.603165 222.0527 4 0.9955206 423.67615 18.085579 711.1592 266.76346 4 0.7608763 353.41272 444.5482 835.80493 721.07947 5 0.9613392 65.840965 377.02744 222.45786 741.79016 5 0.6211483 352.59564 440.4943 835.18585 721.16016 5 0.16851854 0.0 53.01951 68.62277 221.93567 7 0.9972235 271.32443 7.128174 414.55203 171.73741 7 0.63734883 286.98523 366.6337 433.9212 625.4072 7 0.43380255 0.0 52.671234 68.64873 222.01312 7 0.101471595 193.11992 546.1155 278.38583 707.6841 ,test/0006.jpg
0 0.9052667 332.00043 3.4073334 834.36725 191.48122 0 0.58452004 4.5169525 505.31656 297.2721 1021.00684 0 0.50196904 769.8683 92.51761 873.22485 187.56189 0 0.41453016 95.678345 93.13428 973.9099 931.21704 0 0.21124694 423.6196 491.11023 966.1489 1021.485 0 0.13341215 626.7936 95.9574 998.5453 585.49146 0 0.10411335 322.61942 78.75833 986.2749 660.87964 0 0.09037807 54.655 707.29285 908.21045 1011.7833 0 0.07108404 428.19287 885.61945 613.28516 1023.9744 0 0.06688605 84.31888 166.27118 384.9441 968.3121 0 0.06388292 328.20453 23.68872 1012.19086 334.7424 0 0.058755625 199.81622 446.7102 851.5109 930.0095 1 0.9408224 885.53564 895.52625 1021.70935 1021.8041 1 0.89143866 187.09349 895.3771 632.12775 1018.4265 1 0.4526235 117.95514 97.09302 916.0263 940.4221 1 0.22270323 384.19214 886.027 619.1756 1022.8429 1 0.18999474 210.01047 898.8195 377.0759 1021.0483 1 0.18175724 110.84076 164.66226 419.64392 908.2986 1 0.17085797 438.56796 957.9574 503.10666 1024.0 1 0.16162786 216.97946 1005.0459 281.33963 1024.0 1 0.13082968 199.81622 446.7102 851.5109 930.0095 1 0.09664492 188.25691 777.8507 647.6306 1024.0 1 0.076991074 421.0133 893.3835 543.5232 1024.0 1 0.06885506 439.08707 1006.56714 507.7748 1024.0 1 0.058147904 728.7078 87.981 874.93536 188.91035 1 0.057916928 265.62997 1004.44385 305.54416 1024.0 1 0.05515312 267.54224 997.53516 377.6059 1024.0 1 0.051958866 616.7401 98.26579 1003.68396 586.27814 7 0.966422 0.0 867.4485 21.304596 1024.0 7 0.26391172 616.7401 98.26579 1003.68396 586.27814 7 0.12508167 10.20473 864.6716 20.982098 1023.4565 7 0.096684426 125.67938 96.082 975.3442 841.38586 7 0.054669484 428.19287 885.61945 613.28516 1023.9744 9 0.92108756 328.35715 106.27048 866.261 722.4552 9 0.6126801 584.0508 486.58932 902.7656 738.3771 9 0.36251223 117.16815 84.46445 974.4882 898.98145 9 0.3292505 293.4168 524.94727 430.828 665.8092 9 0.21159354 618.6379 98.97255 1003.05536 586.3171 ,test/0007.jpg
0 0.81764215 104.9193 904.57825 168.38225 971.2843 0 0.103633925 0.0 507.99646 50.327866 694.2644 1 0.9555218 646.4049 634.2358 720.97876 763.36774 1 0.86824536 359.9021 1.3159485 417.1963 91.62347 1 0.27204075 105.29657 904.483 168.04785 971.4172 1 0.08083615 354.36957 125.55046 420.50726 226.22688 1 0.059442475 153.53029 575.05927 207.91771 658.7214 5 0.15919946 152.98454 576.63965 207.51329 656.62573 5 0.08169345 362.2475 497.04333 439.08783 587.938 5 0.05980551 154.22314 552.25195 237.28699 666.97656 6 0.99841213 776.7481 279.7226 974.08685 618.6257 7 0.9996916 162.66257 522.01184 468.4562 967.3219 7 0.99957067 406.43927 470.4431 685.43243 877.99866 7 0.9992249 2.6919174 622.00195 176.09668 871.44775 7 0.99899703 686.85815 539.11414 786.4877 695.33154 7 0.9973731 1.2029572 361.90192 268.31024 646.2259 7 0.9902019 541.0316 428.04846 718.1874 627.3353 7 0.9624046 355.1195 125.0999 419.85358 224.30342 7 0.928547 360.87668 501.19748 466.46152 685.57996 7 0.49447453 225.33813 492.3604 325.1289 552.1811 7 0.4136844 658.54175 455.6408 812.41895 622.0285 7 0.25812528 0.0 507.3599 50.341446 693.22437 7 0.16372406 361.2173 497.7236 455.10858 601.6328 7 0.13626038 152.4798 537.28656 245.26785 665.9821 7 0.10013132 143.28865 628.6793 182.12505 731.93164 7 0.079959065 360.02588 1.3544312 417.2002 92.185646 7 0.07309302 225.86005 493.12976 281.75043 541.89 7 0.06618702 152.07822 498.70526 346.43384 671.11725 7 0.06429836 152.86942 572.299 214.94772 658.3674 ,test/0008.jpg
0 0.99940276 295.02283 115.6582 673.1372 966.23364 ,test/0009.jpg
