PredictionString,image_id
0 0.07894154 654.32196 182.89627 705.17865 241.9068 0 0.060471714 494.58118 592.3143 548.53174 658.4284 1 0.9817857 551.2837 107.147545 762.2761 360.1243 1 0.6606187 639.94025 255.09325 733.6119 343.28198 1 0.4546018 429.43488 454.66644 564.4908 668.3665 1 0.45107302 169.31024 375.96478 235.19128 439.3376 1 0.35447377 661.40393 258.40802 731.1638 317.3824 1 0.34555954 638.7397 139.5867 741.3619 340.24884 1 0.28065538 467.1552 575.6227 571.71185 681.10803 1 0.199503 153.99045 421.6925 199.22238 454.80847 1 0.19113997 653.6169 181.67061 710.92255 242.53633 1 0.17614092 189.16927 392.7674 238.18913 440.29712 1 0.17532863 472.34363 578.0824 553.4343 605.015 1 0.1589628 478.16998 590.45105 543.9772 660.81616 1 0.12002889 507.46216 606.29767 580.6372 651.966 1 0.09226407 170.90895 420.04947 210.60777 447.91653 1 0.08444193 424.72272 465.42456 553.64886 553.9356 1 0.074692436 243.39621 404.50034 287.16898 474.49002 1 0.07405022 191.6762 413.04214 245.89049 450.80722 1 0.0739319 549.97736 331.84857 703.95917 606.51965 1 0.06085896 469.9485 554.54504 561.5093 594.0874 1 0.0580721 187.16061 413.39194 225.69296 443.99124 4 0.050826542 335.3862 631.7038 406.08066 723.2675 5 0.905474 244.0476 676.96643 300.62744 748.72437 5 0.575256 337.98245 616.9136 462.76846 737.7754 5 0.54914147 345.06488 661.61444 451.36157 730.5994 5 0.39874822 415.65942 612.5063 463.12408 709.8741 5 0.2963122 396.55237 636.418 465.87933 691.69244 5 0.26431015 334.87732 631.17993 406.94867 720.0027 5 0.2564512 366.4655 565.67786 439.1366 612.4546 5 0.17822333 378.3214 627.63715 432.22174 728.5954 5 0.17362216 395.12814 618.91833 448.82944 723.14233 5 0.13773386 366.69266 669.877 430.49155 726.68256 5 0.100138865 326.52798 570.7557 411.87888 614.3431 5 0.09158665 366.37836 593.077 475.34576 711.6664 5 0.09069424 412.10114 608.9727 446.08234 686.7641 5 0.081984214 323.97437 555.9861 440.94965 622.82983 5 0.07897783 417.44437 658.421 466.9495 728.6499 5 0.07219051 354.08206 567.22626 418.54282 632.2846 5 0.07050664 364.0593 603.3013 432.1359 641.2512 5 0.06442943 428.39954 446.84277 566.64435 697.88965 5 0.06375893 458.60092 579.55676 567.9695 670.12756 5 0.058957726 388.53845 632.7139 427.1673 701.5174 6 0.09461856 428.39954 446.84277 566.64435 697.88965 7 0.99986756 606.85785 516.35535 952.90314 1024.0 7 0.9995616 222.08322 57.822067 453.63974 471.7859 7 0.9995529 119.93703 418.82516 328.32623 716.9133 7 0.9967139 636.9804 331.94525 875.3326 603.0936 7 0.99606836 390.01086 191.41669 600.2335 556.1067 7 0.99365497 454.93762 587.01874 650.4708 871.62006 7 0.9722334 266.69965 444.69498 438.92566 619.1936 7 0.9140024 552.46484 332.4781 706.4293 606.3975 7 0.23798466 327.34088 546.9768 441.11182 621.5736 7 0.18183075 536.4335 190.67294 570.35144 234.15375 7 0.1796208 537.79425 596.38184 648.16644 808.22253 7 0.17534347 317.14474 476.79642 457.97098 743.67834 7 0.13063169 263.81747 432.37762 343.62546 596.6584 7 0.120710395 114.439255 434.52606 172.10799 629.8201 7 0.07964381 338.35303 607.0 458.6438 735.25806 7 0.076844275 490.4571 587.27844 547.22504 657.59436 7 0.07511605 545.87024 405.39856 575.8811 557.3877 7 0.06678753 410.76187 204.63235 629.6988 877.06213 7 0.064380944 467.1552 575.6227 571.71185 681.10803 7 0.055778172 325.13416 572.6797 390.9355 617.2654 7 0.051158145 477.35306 579.19916 560.98114 606.634 ,test/0000.jpg
0 0.5169811 627.92816 647.9573 685.316 823.8948 0 0.079626426 726.28973 642.8134 770.08844 749.39484 2 0.41246065 338.6948 246.02132 749.78357 700.047 3 0.2859257 342.40222 240.5572 749.54297 699.11005 4 0.3623589 342.30255 246.81898 749.52374 700.5091 4 0.10746526 111.78897 0.0 753.02625 728.08984 5 0.64109725 342.00055 244.40555 751.45013 699.84314 5 0.33368078 111.17694 0.0 752.87555 728.66705 5 0.059541356 126.88872 0.0 507.27515 302.42395 6 0.94626915 736.6958 657.2773 888.70715 982.7303 6 0.05028316 758.06494 646.57446 997.1101 985.7217 7 0.88898194 129.4594 0.0 504.3459 295.54633 ,test/0001.jpg
0 0.678641 851.3911 431.73184 1024.0 641.3262 0 0.6286204 69.785675 284.35214 423.83142 463.56906 0 0.39085275 269.84814 336.93478 1024.0 381.6719 0 0.34298527 89.31134 290.46667 366.12308 598.756 0 0.21812211 292.0445 339.24036 1013.7917 505.11743 0 0.18514402 186.48853 368.00366 232.78906 551.18604 0 0.16150586 288.08643 319.2657 1009.93164 429.95782 0 0.1289256 143.27113 270.72888 426.87317 394.5598 0 0.09850759 673.06134 343.00714 999.64386 371.7896 0 0.097052336 207.35172 294.3691 331.9514 589.7937 0 0.08422681 131.00179 304.0371 254.61751 573.84485 0 0.078320764 321.49228 322.50507 1010.3357 361.18738 0 0.07725075 272.56607 327.40964 997.2466 717.0714 0 0.070054464 773.6116 539.0007 808.6228 572.33307 0 0.067664735 971.8224 229.1195 1021.95374 245.97754 0 0.06699338 749.2463 308.88852 1020.5101 661.4413 0 0.066913344 868.2006 256.22842 908.7841 324.7153 0 0.066082396 91.37465 296.20908 259.3128 455.65695 0 0.059308812 634.48486 322.88974 1004.86206 374.3936 0 0.055438783 78.03393 289.09537 333.40048 409.39236 0 0.05163588 775.3621 401.97894 1024.0 1024.0 0 0.051533718 424.9649 324.26694 642.27264 348.72812 1 0.9869425 773.8334 408.38547 1024.0 1024.0 1 0.98419833 430.77997 266.69437 641.925 331.6705 1 0.9566392 278.55475 326.54666 965.89606 747.55383 1 0.8705289 660.75256 226.47388 1024.0 351.52136 1 0.81180745 90.20505 293.63156 356.6278 598.4552 1 0.71352535 675.65015 230.3591 765.5615 324.91116 1 0.5589761 673.8542 227.46408 884.3066 331.7985 1 0.39268705 850.37524 228.29199 1024.0 375.56995 1 0.29004285 0.4232483 235.90201 148.58006 379.54892 1 0.27499503 995.1385 307.26672 1022.3964 393.33148 1 0.27118748 868.3738 254.75555 909.406 324.82452 1 0.25855592 998.7113 304.49857 1024.0 335.7664 1 0.19577715 938.1587 226.77545 1023.94836 375.63458 1 0.16213562 77.65364 275.71106 430.37927 415.57776 1 0.15036538 986.75446 322.6979 1022.18365 371.89877 1 0.12705603 217.51837 273.1941 406.8803 596.5656 1 0.12677433 712.9469 318.13794 1004.9813 370.31323 1 0.114396 892.74664 316.95013 975.5927 367.5428 1 0.11350825 421.79095 492.71307 820.5805 717.0069 1 0.106854305 904.46454 229.89532 970.903 363.59076 1 0.1009328 0.8967209 272.72107 160.06018 487.5797 1 0.087338455 971.8224 229.1195 1021.95374 245.97754 1 0.08113317 765.77515 320.96603 974.5083 354.3273 1 0.08094931 754.64526 276.54172 1011.3889 356.46072 1 0.07765215 358.06845 370.85968 1006.80383 1024.0 1 0.077308275 328.76318 308.4536 1017.7843 389.83228 1 0.07261583 657.79224 226.22435 1021.1122 559.1677 1 0.07246525 961.06915 230.91956 1024.0 315.20563 1 0.06540545 987.0687 338.77795 1021.23267 387.84955 1 0.06308439 832.8571 411.9588 1023.80145 643.455 1 0.057599008 753.7668 246.64635 965.10504 337.5772 1 0.052300565 959.8479 323.6652 1013.23425 374.48337 1 0.05043921 901.7138 314.936 965.8472 348.46658 2 0.15195133 674.2911 230.54073 765.128 325.0622 2 0.08513384 868.31415 253.36528 909.69135 324.84344 4 0.16316448 867.7565 256.43478 908.90845 324.64932 6 0.23276964 292.26352 337.7591 1011.9956 490.2171 6 0.16593051 839.7259 420.32468 1024.0 645.5839 6 0.15930851 308.183 322.74542 1008.60815 402.3637 6 0.0862076 849.8611 411.567 1020.13196 475.3323 6 0.06610809 657.79224 226.22435 1021.1122 559.1677 6 0.058359727 272.56607 327.40964 997.2466 717.0714 6 0.05634351 747.1465 322.65378 975.37024 350.04214 6 0.053683594 827.0618 431.38477 1024.0 541.13513 6 0.05255957 321.49228 322.50507 1010.3357 361.18738 ,test/0002.jpg
0 0.42653012 20.33197 683.7388 1011.7309 1024.0 0 0.055972897 4.31514 187.91196 313.03174 1024.0 9 0.99834764 158.85834 275.0532 912.13434 819.41724 9 0.73993856 0.0 0.0 1017.7681 423.00275 9 0.4272097 22.513397 705.11707 1005.5054 1024.0 9 0.204744 34.81613 0.0 875.2516 1024.0 9 0.108384736 13.028702 697.3154 306.40485 1023.3462 9 0.10498793 4.31514 187.91196 313.03174 1024.0 9 0.056777738 7.445038 301.5508 109.653015 877.7052 ,test/0003.jpg
0 0.10525443 529.9066 573.9059 800.7816 699.18066 0 0.10315304 409.5793 361.1386 667.1117 591.282 0 0.09623619 468.41766 608.26807 717.8184 730.99365 0 0.05130965 424.81213 504.81717 504.93292 574.9209 1 0.9987047 193.08514 290.91388 875.0644 772.87494 1 0.37310708 452.27756 406.68652 663.51685 541.0608 1 0.27084336 193.66107 372.8946 661.4616 660.0877 1 0.22856393 427.3435 507.9418 494.5027 571.4216 1 0.22717422 364.16272 329.06058 662.91284 594.35205 1 0.11279493 400.258 376.89548 874.8725 635.29443 9 0.16604541 465.97363 407.6202 662.01416 534.62115 ,test/0004.jpg
0 0.14847189 355.29095 232.21248 779.7691 710.5885 0 0.07258681 346.20795 593.2794 616.9017 713.5886 1 0.06806594 353.73712 234.11679 779.7198 709.2982 2 0.9924544 355.33093 232.49158 774.96313 713.8062 ,test/0005.jpg
0 0.95170665 895.46594 786.8026 1023.09717 919.5405 0 0.8600266 599.60284 0.0 700.0151 85.934685 0 0.12728208 831.13336 878.5555 867.91876 902.54364 0 0.08931599 705.3538 874.75934 879.67914 932.65265 0 0.05418748 675.75977 3.6763859 701.3456 67.21316 3 0.82969564 0.0 63.27352 68.16403 217.0597 3 0.49825245 193.09297 642.95013 305.34998 873.10114 4 0.9674448 434.74988 5.414856 712.1969 266.18353 4 0.12584458 337.25998 458.05792 838.6239 723.5572 5 0.97974133 349.48932 457.5061 836.7476 723.3517 5 0.64696723 192.81343 646.115 305.9855 872.65894 5 0.16010359 0.0 63.728302 68.303505 216.79395 7 0.9946642 272.82797 15.241364 425.53262 170.86293 ,test/0006.jpg
0 0.7563307 46.364563 39.27997 995.1943 997.0063 0 0.50931025 781.40155 85.54065 846.5506 182.15445 0 0.22739832 332.4148 65.518555 964.44666 759.14685 0 0.12998044 387.89658 489.51852 996.35 1024.0 0 0.10772704 351.442 80.86021 871.7992 283.0353 0 0.09141354 598.9447 63.402374 993.9335 593.3971 0 0.07964362 14.965027 519.71967 502.74915 1021.59186 0 0.07517035 2.7301788 540.90936 179.22133 873.22906 0 0.06905866 316.63318 4.592087 972.08545 413.844 1 0.55216086 882.3723 889.2161 1020.0427 1022.0008 1 0.4126749 84.22516 97.065186 981.3642 943.6438 1 0.086514905 284.4718 655.3442 472.73914 819.2824 1 0.06950041 702.85455 90.701744 767.49115 151.63393 1 0.06267179 428.208 886.5012 554.8429 1024.0 5 0.3090154 2.2278051 859.21014 23.919258 1024.0 9 0.5821464 250.79361 78.49786 948.2086 782.4712 ,test/0007.jpg
0 0.9031565 106.70705 903.51056 170.78401 973.25555 1 0.9190618 360.18845 496.13123 458.99667 605.8329 1 0.6663424 651.773 630.32324 725.2719 761.6531 1 0.43997082 647.18353 532.76465 780.267 768.062 1 0.14447038 625.3812 572.81854 739.9337 762.18536 1 0.1280937 106.80365 903.5485 170.75253 973.28705 1 0.10987832 644.10333 617.35474 682.3931 766.9562 2 0.12978362 235.65193 491.2796 282.66342 539.3349 5 0.27263704 600.0237 343.2508 748.65027 472.67822 5 0.111637615 559.09656 428.34973 720.06213 612.588 5 0.056146804 777.3688 293.23822 974.8479 608.2278 6 0.9226984 773.5178 280.1518 977.54785 610.06647 6 0.099579185 652.9926 447.6912 812.8731 571.5194 6 0.07726768 776.8125 381.26282 965.7588 557.27454 7 0.9983315 391.64398 461.44937 691.013 885.4193 7 0.9980354 160.69872 530.5404 457.27618 963.86755 7 0.9976802 0.0 363.53677 279.95575 639.703 7 0.9947968 4.866539 596.6915 181.99905 888.08997 7 0.8974722 679.3779 526.4838 794.454 705.4699 7 0.7164117 550.5108 430.5567 729.26544 612.986 7 0.5611135 223.92044 493.02573 333.64413 558.7036 7 0.52225983 513.1473 438.25406 812.6717 673.3562 7 0.42479527 0.0 535.8852 55.190357 685.98444 7 0.19050153 636.5504 448.84225 806.016 714.67847 7 0.15611725 4.1311646 369.01514 267.70807 897.92993 7 0.14718899 231.44695 491.41855 283.47308 546.03326 7 0.14222208 160.4966 523.50903 390.15308 764.6736 7 0.13630356 148.24269 477.83423 301.10767 633.84265 7 0.12437742 706.5066 507.78345 812.8246 604.928 7 0.09351959 638.0724 518.75714 734.36523 605.2957 7 0.09189502 665.40765 464.42456 816.1125 617.61035 7 0.07595344 10.944878 470.30347 245.80936 704.4706 7 0.071649805 397.13232 598.848 450.80115 666.35803 7 0.063861676 155.61554 566.79205 201.00076 639.6016 7 0.06163063 135.74843 491.24738 409.69574 646.86884 7 0.057718378 209.60674 527.9148 287.92914 572.2157 7 0.050464146 639.6227 564.06366 684.5781 643.2452 ,test/0008.jpg
0 0.99886835 268.24725 114.138916 662.1574 980.97156 0 0.12266714 306.63922 716.66406 633.504 978.59375 ,test/0009.jpg
