PredictionString,image_id
0 0.0988276 483.4853 597.34827 564.51874 655.4387 1 0.96646535 564.2947 109.03876 763.5065 373.93353 1 0.52506614 576.4072 238.82114 742.7529 356.57864 1 0.39237252 634.98035 255.65274 735.2031 348.38956 1 0.3542962 427.13467 456.50293 565.4226 611.5664 1 0.2927477 666.4316 260.03314 730.05206 317.61603 1 0.2080376 640.95776 145.98666 754.49426 335.8134 1 0.16379306 545.22955 117.23222 892.15045 620.8235 1 0.0933969 472.5234 555.9153 559.4896 597.405 1 0.06473933 468.70703 578.2199 501.29572 670.8608 1 0.06431459 243.68147 406.53955 288.7011 463.05206 1 0.05826019 654.0267 188.34369 695.03424 239.19363 1 0.055660546 481.45132 595.2814 545.061 657.8727 5 0.8568254 332.275 634.7646 401.57126 726.2214 5 0.84106743 335.19672 626.8971 443.26813 739.0193 5 0.8350382 243.69278 675.3459 299.319 750.1379 5 0.70756924 403.55353 618.67694 455.8896 706.2675 5 0.60268927 371.05713 676.5414 429.47125 725.48804 5 0.43325743 29.140198 308.44086 226.89499 434.83337 5 0.3410689 374.4399 633.77893 463.84354 726.31506 5 0.23142187 419.72592 634.61395 460.9849 718.382 5 0.21008147 395.52634 640.8807 440.55618 692.6224 5 0.14910233 380.46484 571.203 439.68506 612.10657 5 0.124176845 214.8166 668.4656 296.0663 734.21155 5 0.12057943 367.7939 564.2156 440.23813 631.14197 5 0.11504785 485.88 592.7654 564.10693 654.3196 5 0.092254154 383.16644 640.49506 430.8661 725.653 5 0.0893425 328.94208 533.3093 451.50616 740.73975 5 0.07128972 324.4786 566.8737 424.00583 622.1458 5 0.0706867 328.49094 639.76953 385.94278 694.13586 5 0.07047144 212.76398 691.55035 250.11063 733.82086 5 0.0626216 384.75146 563.15326 459.23383 715.51996 5 0.060059275 506.18958 607.4748 590.00476 649.76605 5 0.053273186 330.1776 552.25256 444.74805 643.7328 7 0.9997867 604.3492 521.8937 951.9345 1024.0 7 0.99930227 222.10815 63.13353 454.6386 488.23193 7 0.9992292 117.26682 415.33112 324.5968 716.2884 7 0.99582654 396.40277 188.84175 594.4126 554.94666 7 0.99425066 567.0673 326.0176 882.11163 605.8939 7 0.9851591 454.20932 581.7964 642.2543 870.3041 7 0.9501065 550.617 336.08832 708.18243 606.18274 7 0.83919597 262.04822 428.36057 444.27625 621.2748 7 0.19187655 322.32953 559.1115 442.52295 630.93463 7 0.11225555 328.94208 533.3093 451.50616 740.73975 7 0.097534284 224.74664 664.8511 300.9032 749.7472 7 0.07192712 333.68616 627.1122 438.51178 737.5088 7 0.07089994 610.9561 611.2298 639.48895 785.48065 7 0.05565402 427.26178 402.22806 682.40594 871.31885 7 0.05438879 460.55273 595.59125 598.67224 785.9023 7 0.053123392 539.89417 602.2221 644.225 807.03705 ,test/0000.jpg
0 0.70432156 638.67175 659.3376 672.084 827.2436 0 0.0758651 630.2541 648.42737 698.23846 821.36816 2 0.76646495 342.53412 261.52942 750.2066 698.7311 3 0.05589885 343.4043 257.30017 751.47095 698.1486 5 0.9887834 130.09488 0.0 502.79068 285.46436 5 0.7308475 343.53738 259.43015 750.635 699.5486 5 0.07804953 106.17984 0.0 743.04846 709.3622 5 0.054872185 640.5507 659.6319 677.0728 827.5584 6 0.91225696 763.7067 659.4756 897.1402 986.0846 ,test/0001.jpg
0 0.38606846 781.2412 414.89908 1024.0 1024.0 0 0.3222778 868.7499 263.17828 910.5216 321.26752 0 0.2754413 836.6438 428.46384 1024.0 632.6402 0 0.1910194 287.36368 325.61545 1021.7522 516.5337 0 0.15323435 690.05676 227.55353 878.381 255.03555 0 0.13250868 832.6869 432.2525 1023.124 532.2578 0 0.10633517 284.05792 309.38757 997.1701 406.89075 0 0.099163145 0.0 340.5352 123.242966 462.3795 0 0.099113524 876.094 239.88803 918.68176 272.71878 0 0.09609941 65.06398 277.39276 432.29584 490.0381 0 0.087255284 206.12175 289.0196 325.78638 594.0317 0 0.07661729 670.8419 229.93436 761.86646 324.04642 0 0.063507 638.4021 218.10332 1024.0 623.25397 0 0.06183934 750.39746 230.56816 880.9115 274.37088 0 0.05769891 319.10114 339.35803 999.2863 379.02045 0 0.05751572 748.5109 228.87689 893.54315 326.05566 0 0.057379283 874.27374 468.44104 1024.0 581.8639 1 0.9772345 424.19104 268.33954 643.2549 328.521 1 0.97371453 78.56056 270.8574 384.07135 599.3624 1 0.95273024 293.9379 332.30206 934.34155 739.3907 1 0.93405354 779.7397 418.6061 1024.0 1024.0 1 0.9146424 663.9026 226.522 915.499 327.86752 1 0.5627383 894.584 227.99197 1024.0 387.75095 1 0.53555864 330.31824 486.10867 821.66516 735.9082 1 0.52268153 670.7076 229.95943 763.0048 324.28363 1 0.51659435 272.67355 304.14053 1024.0 1016.0023 1 0.41625014 995.3909 305.22272 1023.8909 381.5539 1 0.30598694 0.0 237.2377 147.33702 475.52347 1 0.27570635 665.8179 230.77235 1023.21985 374.93195 1 0.17424124 47.117767 277.81378 434.3154 464.5019 1 0.14891002 868.4886 260.7771 910.6348 321.31317 1 0.13198291 999.2664 307.09958 1023.85834 341.0992 1 0.123908944 751.1013 230.24394 881.5829 325.21286 1 0.12347805 111.62695 289.82166 932.80066 574.30096 1 0.105676815 275.30334 282.56003 1018.84717 386.5969 1 0.10255943 912.6869 300.51093 1017.5116 378.06793 1 0.09262675 0.0 234.20816 143.9544 354.70157 1 0.076126575 108.808525 443.44196 250.57538 598.535 1 0.07170023 638.4021 218.10332 1024.0 623.25397 1 0.071424015 896.7378 317.27322 967.87866 351.07443 1 0.06774209 137.78546 261.84146 400.41406 316.8403 1 0.0631308 0.0 334.79166 130.10617 461.93228 1 0.06293247 206.12175 289.0196 325.78638 594.0317 1 0.0616418 946.1203 309.56256 1007.7934 371.99872 1 0.060717385 77.14981 330.76093 327.99304 519.9955 1 0.06037567 963.1191 231.14326 1022.8057 248.97356 1 0.053465284 353.87314 266.5808 1020.0089 516.9466 1 0.051141895 903.2443 318.58017 988.22064 367.08414 2 0.17245238 670.7076 229.95943 763.0048 324.28363 6 0.3841089 284.61383 322.22815 1017.5267 493.18915 6 0.09446393 651.20184 232.69925 1023.71954 496.80576 6 0.0740791 286.8666 301.71317 1004.051 399.5909 6 0.065590404 833.0628 412.30234 1024.0 522.02026 ,test/0002.jpg
0 0.1130204 86.35037 709.7612 1012.7012 1008.48364 0 0.08747054 7.034546 0.0 1017.6719 362.30078 0 0.079016216 125.24954 261.20468 927.76013 828.95337 0 0.06616266 0.0 463.24945 390.2854 1024.0 9 0.99736565 139.2753 263.31497 926.0453 827.6227 9 0.30936703 7.034546 0.0 1017.6719 362.30078 9 0.13701476 0.8064728 299.04913 334.0218 1024.0 9 0.07448121 2.0760193 442.60693 189.21295 868.6245 ,test/0003.jpg
0 0.39716798 472.12338 411.02075 665.8428 529.5902 0 0.2466495 329.11792 388.4665 884.7012 774.26996 0 0.21062647 424.6673 511.32428 480.34955 571.7889 0 0.20120728 437.5915 557.3156 815.70905 747.14813 0 0.19175468 425.13565 541.85614 464.32962 573.3836 0 0.18874425 452.17023 376.01074 880.0949 613.55505 0 0.14920281 382.11322 337.3659 695.2536 589.21375 0 0.124700785 180.37735 322.69525 767.8042 662.1913 0 0.07603244 550.92053 572.67883 802.7068 693.92615 1 0.9784637 198.26923 287.01465 891.34845 774.3579 1 0.28482878 196.72275 402.13467 479.2391 664.0906 1 0.15089734 424.6673 511.32428 480.34955 571.7889 1 0.11635064 424.92984 543.35144 458.5356 573.6582 1 0.08651537 186.37396 348.59015 747.5667 641.28125 1 0.07949044 405.4864 379.4566 882.1369 655.519 1 0.071569346 332.7818 274.34882 655.76465 645.39636 1 0.06037346 401.76514 369.07227 724.39575 587.6122 ,test/0004.jpg
2 0.9995782 361.54877 230.934 775.0479 720.2904 ,test/0005.jpg
0 0.9170433 897.54083 785.3041 1021.8027 919.20105 0 0.38021788 598.5528 0.0 703.6274 81.377 0 0.21655658 193.1997 643.3682 303.15472 865.5302 0 0.1921092 47.883163 370.42883 230.55476 738.1914 0 0.16023366 0.0 67.04471 69.2478 224.64886 0 0.079641685 19.124756 262.50293 244.14069 917.1986 0 0.059812985 428.36853 2.8011627 694.77954 264.58246 4 0.93916935 428.1252 3.4635315 694.6697 265.08786 4 0.06116751 347.29465 454.3683 834.6626 725.5991 5 0.9939036 348.5108 454.623 834.96466 724.24713 5 0.5210755 191.06192 567.2199 302.05728 874.00665 5 0.1519218 44.980156 367.97714 233.44019 737.4979 5 0.08691347 0.6425743 804.1877 90.05716 944.5778 5 0.06476486 428.36853 2.8011627 694.77954 264.58246 6 0.22344182 598.50226 0.0 703.71466 81.26305 7 0.9173825 271.44437 15.878532 427.31583 175.37714 7 0.8021656 0.0 67.40927 68.65991 224.58542 7 0.40687 193.1997 643.3682 303.15472 865.5302 9 0.2506682 41.806343 364.94507 232.97375 739.06616 ,test/0006.jpg
0 0.8895967 782.01196 84.58131 845.76514 187.87411 0 0.6895489 29.348663 47.99228 965.6028 1020.64087 0 0.33534473 310.87653 58.124146 985.90765 741.3161 0 0.24194142 339.22495 13.210159 881.60815 186.21721 0 0.19794881 649.9771 492.19284 894.59686 747.74084 0 0.19301735 0.0 865.0761 26.691658 1023.2841 0 0.17768176 183.91223 485.29953 908.53394 1024.0 0 0.13974065 11.583885 157.88208 260.52353 1009.8058 0 0.07579903 728.806 115.80583 768.3197 158.43199 0 0.074918576 38.6821 176.36221 541.6979 1002.23914 0 0.06444361 881.15674 892.1951 1019.7617 1019.16095 0 0.06339414 526.45294 127.767944 902.9161 693.9571 0 0.05502099 329.5569 77.16694 837.193 236.9296 1 0.8326601 230.99377 877.6413 591.09283 1024.0 1 0.6203412 881.3594 891.58685 1020.59814 1018.38446 1 0.357879 480.54028 912.8368 568.9878 1021.3103 1 0.3403495 425.10352 896.67847 597.86615 1024.0 1 0.3213465 880.92737 560.9553 928.51917 676.09033 1 0.29889107 33.26889 77.90509 985.8595 1012.4451 1 0.10352655 183.91223 485.29953 908.53394 1024.0 1 0.08884293 239.09604 892.5565 393.80563 1024.0 1 0.06388442 433.26343 991.6849 528.54706 1024.0 1 0.060023867 749.63794 108.24853 794.822 156.16147 1 0.05990481 430.5445 901.7579 514.1253 1024.0 1 0.058943436 435.28815 962.43506 505.49664 1022.80176 1 0.05421317 775.4449 85.33659 854.00946 183.41093 5 0.056569953 881.94586 892.59357 1016.7934 1018.8166 7 0.16639398 31.410767 104.47241 986.03107 993.0016 7 0.0669073 313.4895 83.64975 972.8413 752.2831 9 0.59560776 284.01044 117.734406 980.7293 736.306 9 0.15434498 529.13745 122.78528 868.8696 729.6386 9 0.11833415 566.85706 476.7248 896.59265 742.2553 9 0.115099825 29.66446 76.71167 982.3834 982.1306 9 0.058132514 735.82465 183.91212 989.16766 580.63544 ,test/0007.jpg
0 0.87051415 108.04688 904.2051 170.01602 972.7645 1 0.8297696 649.8189 640.6156 720.1962 760.25073 1 0.4907974 359.00983 495.6562 466.07758 613.2172 1 0.17256758 107.92968 904.1238 170.06519 972.45337 1 0.1683683 646.4526 526.2101 778.65106 769.9674 1 0.13764545 633.6354 569.7151 731.958 774.5321 1 0.13373543 645.9013 623.4993 684.19977 766.2913 1 0.06284564 671.38196 633.20575 750.66565 764.17926 2 0.23928975 227.87437 493.5469 328.93018 555.045 2 0.20658769 231.08511 491.1543 292.1854 543.0393 2 0.15168697 359.33612 493.93927 463.08173 610.2631 5 0.12093915 0.0 368.20267 274.22296 577.99713 5 0.056749135 230.23405 491.7966 328.14163 556.3863 5 0.05404417 401.97052 601.28064 444.63635 650.2301 5 0.05088722 762.97485 275.22504 973.26404 615.0001 5 0.05020622 500.54306 471.32605 587.916 513.25507 6 0.5833108 762.1506 275.2871 972.533 614.9168 6 0.45174664 359.24176 495.17 464.0763 612.5399 7 0.99961555 383.8226 462.40338 688.72864 885.21954 7 0.9981173 161.26796 515.0852 457.4145 961.53955 7 0.9965011 5.223938 360.91266 276.089 642.8376 7 0.9926764 0.09376526 595.6617 179.98146 877.3614 7 0.9868073 553.77124 433.4147 712.88354 606.2484 7 0.9752969 685.187 520.8628 789.0043 704.792 7 0.31854525 401.97052 601.28064 444.63635 650.2301 7 0.24427721 0.25271606 431.15448 248.78702 877.3305 7 0.24300002 710.9954 509.6349 814.9483 619.5149 7 0.22165501 222.23045 492.01807 332.4166 556.92224 7 0.16506174 524.3093 440.72818 818.32874 619.50726 7 0.16041885 396.92935 596.0617 443.43698 682.9661 7 0.15105827 373.25903 578.52905 405.9087 676.41223 7 0.096033655 660.19135 444.8183 808.5173 716.0175 7 0.08539432 154.05887 394.9446 261.22363 641.92456 7 0.08421768 356.8274 571.3236 400.7426 686.93506 7 0.07398257 227.65852 445.85663 271.43414 497.9651 7 0.06164682 169.16112 484.51904 328.33038 590.0791 7 0.05380607 156.60764 564.437 194.92844 640.7716 7 0.05314408 645.5058 521.2813 723.2232 607.92914 7 0.052253347 359.0921 447.59583 713.8527 600.7384 ,test/0008.jpg
0 0.9995316 282.1093 109.69989 659.4931 980.25287 ,test/0009.jpg
0 0.49534225 124.065056 731.2643 355.30685 810.949 0 0.30489105 642.85406 42.64438 1024.0 572.1266 0 0.2632204 19.528744 824.20593 141.15955 876.55664 0 0.24293837 122.51895 604.8108 452.8948 715.99475 0 0.20373625 40.072693 663.76874 508.19678 815.50275 0 0.18194792 276.50458 787.38995 344.1775 865.81036 0 0.104436524 105.910614 726.01117 210.50787 790.9567 0 0.07391627 274.48602 819.70013 342.59058 858.63617 0 0.07298554 16.495659 822.13086 180.31003 908.17175 0 0.070187666 74.57143 720.3144 426.96838 842.2126 0 0.058400016 14.26091 599.74634 456.2276 885.7739 3 0.10367509 138.21764 604.99524 439.72058 717.1062 4 0.9914465 180.22571 325.1632 665.9588 474.45056 5 0.14592133 0.0 933.5933 33.116787 1021.3127 5 0.07599838 122.51895 604.8108 452.8948 715.99475 7 0.42396015 189.69441 876.5653 533.1148 1024.0 7 0.32234117 0.0 826.6059 229.98853 1024.0 7 0.1390427 165.08368 734.7186 343.23138 815.3197 7 0.0870518 0.0 833.06396 490.29767 1022.9319 7 0.08089245 16.495659 822.13086 180.31003 908.17175 7 0.07064879 41.249863 628.8628 464.6942 834.7107 7 0.06773166 113.308975 604.85486 465.3178 715.8219 7 0.062717214 276.50458 787.38995 344.1775 865.81036 ,test/0010.jpg
